,mean,sd,% Female,N
Davis Group,32.681251525878906,11.379103660583496,56.25,16
David Wolk Lab,68.37619018554688,15.500734329223633,100.0,210
Connectome,28.190696716308594,8.111771583557129,41.86046511627907,43
Detre Group,28.6679630279541,5.743450164794922,53.2258064516129,62
Oathes Lab,30.22315788269043,10.106959342956543,57.89473684210527,95
