,Age (mean),Age (sd),% Female,N
Davis Group,32.681251525878906,11.379103660583496,56.25,16
Oathes Lab,30.515789031982422,10.496979713439941,56.84210526315789,95
Detre Group,28.669353485107422,5.744270324707031,53.2258064516129,62
Connectome,28.190698623657227,8.111772537231445,41.86046511627907,43
David Wolk Lab,68.16585540771484,15.615558624267578,64.8780487804878,205
Penn FTD Center,39.62863540649414,19.16094398498535,56.82326621923938,447
