"Sex","Age"
1,39
1,25
1,35.7
0,35.1
0,29.5
1,19.3
0,33.2
1,25.9
0,30
0,35.7
1,23.8
1,24.4
1,28.9
1,24.5
1,22.1
0,27.8
1,30.2
1,29.1
0,25.6
0,22.7
0,26.7
1,32.8
0,39.6
0,36.3
1,31.3
1,32.4
0,32.4
0,29.5
1,28.1
1,28.6
1,23.4
1,21.6
1,26.1
1,27.2
0,33
0,33
1,26
0,31
1,19
1,33
1,22
0,27
1,29
0,61
1,24
1,25
1,21
1,26
1,21
0,27
1,26
0,27
0,48
0,19
0,20
0,19
1,32
0,27
0,39
0,25
0,26
0,33
1,32
0,29
0,28.8
0,26
0,26
1,27
1,40
1,19
1,20
0,21
1,19
0,36
0,25
0,27.4
0,37
1,44
0,51
